id,provider_id,name,era,seasons,regular_games,regular_ppg,regular_rpg,regular_apg,regular_spg,regular_bpg,regular_fg_pct,regular_three_pct,regular_ft_pct,playoff_games,playoff_ppg,playoff_rpg,playoff_apg,playoff_spg,playoff_bpg,playoff_fg_pct,playoff_three_pct,playoff_ft_pct,mvp,all_nba,dpoy,championships,finals_mvp,award_source,record_source,image_license
payton-gary,56,Gary Payton,1990s,17,1335,16.3,3.9,6.7,1.8,0.2,46.6,31.7,72.9,154,14.0,3.7,5.3,1.4,0.2,44.1,31.5,70.6,0,9,1,1,0,https://www.nba.com/stats/player/56/awards,https://www.nba.com/stats/player/56/traditional?PerMode=Totals,NBA.com CDN public-source development import.
pettit-bob,77847,Bob Pettit,1950s,11,792,26.4,16.2,3.0,,,43.6,,76.1,88,25.5,14.8,2.7,,,41.8,,77.4,2,11,,1,,https://www.nba.com/stats/player/77847/awards,https://www.nba.com/stats/player/77847/traditional?PerMode=Totals,NBA.com CDN public-source development import.
pierce-paul,1718,Paul Pierce,2000s,19,1343,19.7,5.6,3.5,1.3,0.6,44.5,36.8,80.6,170,18.7,5.8,3.4,1.2,0.6,42.3,35.5,83.0,0,4,0,1,1,https://www.nba.com/stats/player/1718/awards,https://www.nba.com/stats/player/1718/traditional?PerMode=Totals,NBA.com CDN public-source development import.
pippen-scottie,937,Scottie Pippen,1990s,17,1178,16.1,6.4,5.2,2.0,0.8,47.3,32.6,70.4,208,17.5,7.6,5.0,1.9,0.9,44.4,30.3,72.4,0,7,0,6,0,https://www.nba.com/stats/player/937/awards,https://www.nba.com/stats/player/937/traditional?PerMode=Totals,NBA.com CDN public-source development import.
reed-willis,77929,Willis Reed,1960s,10,650,18.7,12.9,1.8,,,47.6,,74.7,78,17.4,10.3,1.9,,,47.4,,76.5,1,5,,2,2,https://www.nba.com/stats/player/77929/awards,https://www.nba.com/stats/player/77929/traditional?PerMode=Totals,NBA.com CDN public-source development import.
robertson-oscar,600015,Oscar Robertson,1960s,14,1040,25.7,7.5,9.5,,,48.5,,83.8,86,22.2,6.7,8.9,,,46.0,,85.5,1,11,,1,0,https://www.nba.com/stats/player/600015/awards,https://www.nba.com/stats/player/600015/traditional?PerMode=Totals,NBA.com CDN public-source development import.
robinson-david,764,David Robinson,1990s,14,987,21.1,10.6,2.5,1.4,3.0,51.8,25.0,73.6,123,18.1,10.6,2.3,1.2,2.5,47.9,10.0,70.8,1,10,1,2,0,https://www.nba.com/stats/player/764/awards,https://www.nba.com/stats/player/764/traditional?PerMode=Totals,NBA.com CDN public-source development import.
rodman-dennis,23,Dennis Rodman,1990s,14,911,7.3,13.1,1.8,0.7,0.6,52.1,23.1,58.4,169,6.4,9.9,1.2,0.6,0.6,49.0,14.9,54.0,0,2,2,5,0,https://www.nba.com/stats/player/23/awards,https://www.nba.com/stats/player/23/traditional?PerMode=Totals,NBA.com CDN public-source development import.
russell-bill,78049,Bill Russell,1960s,13,963,15.1,22.5,4.3,,,44.0,,56.1,165,16.2,24.9,4.7,,,43.0,,60.3,5,11,,11,0,https://www.nba.com/stats/player/78049/awards,https://www.nba.com/stats/player/78049/traditional?PerMode=Totals,NBA.com CDN public-source development import.
schayes-dolph,78076,Dolph Schayes,1950s,15,996,18.5,11.3,3.1,,,38.0,,84.9,97,19.5,10.8,2.6,,,39.0,,82.5,0,12,,1,,https://www.nba.com/stats/player/78076/awards,https://www.nba.com/stats/player/78076/traditional?PerMode=Totals,NBA.com CDN public-source development import.
